id,name_space,name,is_hidden
/smt_example/actuator/door0,/smt_example/actuator,door0,False
/smt_example/actuator/light0,/smt_example/actuator,light0,False
/smt_example/sensor/smoke,/smt_example/sensor,smoke,False
/_ros2cli_daemon_0,/,_ros2cli_daemon_0,True
/smt_example/sensor/locator,/smt_example/sensor,locator,False
/smt_example/sensor/temperature,/smt_example/sensor,temperature,False
/smt_example/sensor/infrared,/smt_example/sensor,infrared,False
/smt_example/control/control0,/smt_example/control,control0,False
